,exchange,datetime,ask_size,ask,bid,bid_size,spread,mid_price,vwap,levels
55,bigone,2023-04-25T05:18:17.475Z,995.76417,92200.39,90423.88999999998,340.63289000000003,1776.4999999999998,1823.695,1840.5136,50
56,bigone,2023-04-25T05:18:18.891Z,995.76417,92200.31000000001,90423.97,340.63289000000003,1776.34,1823.695,1840.5136,50
57,bigone,2023-04-25T05:18:20.252Z,995.7641700000001,92200.90000000001,90424.03,340.63289000000003,1776.87,1823.76,1840.5138,50
58,bigone,2023-04-25T05:18:21.627Z,995.7641699999999,92204.42,90427.56,340.63289,1776.8600000000001,1824.155,1840.5343,50
59,bigone,2023-04-25T05:18:23.003Z,995.7641699999999,92204.26000000001,90427.68,340.63289,1776.58,1824.155,1840.5341,50
60,bigone,2023-04-25T05:18:24.387Z,995.7641699999999,92204.22,90427.72,340.63289,1776.5,1824.155,1840.5341,50
61,bigone,2023-04-25T05:18:25.734Z,995.7641700000001,92204.16,90396.96,335.98483,1807.1999999999998,1824.155,1840.5971,50
62,bigone,2023-04-25T05:18:27.109Z,995.7641699999999,92204.1,90427.84,340.63289,1776.2599999999998,1824.155,1840.5341,50
63,bigone,2023-04-25T05:18:28.478Z,995.7641699999999,92204.06000000001,90427.88,340.63289,1776.1799999999998,1824.155,1840.5341,50
64,bigone,2023-04-25T05:18:29.840Z,995.7641699999999,92203.98000000001,90427.95999999999,340.63289,1776.02,1824.155,1840.5341,50
65,bigone,2023-04-25T05:18:31.214Z,995.7641699999999,92203.94,90428.0,340.63289,1775.94,1824.155,1840.5341,50
66,bigone,2023-04-25T05:18:32.563Z,995.7641699999999,92203.90000000001,90428.04,340.63289,1775.8600000000001,1824.155,1840.5341,50
67,bigone,2023-04-25T05:18:33.941Z,995.7641699999999,92203.82,90428.12,340.63289,1775.6999999999998,1824.155,1840.5341,50
68,bigone,2023-04-25T05:18:35.297Z,995.7641699999999,92203.78,90428.16,340.63289,1775.62,1824.155,1840.5341,50
69,bigone,2023-04-25T05:18:36.689Z,995.7641699999999,92203.74,90428.2,340.63289,1775.54,1824.155,1840.5341,50
70,bigone,2023-04-25T05:18:38.049Z,995.7641699999999,92203.66,90428.23999999999,340.63289,1775.42,1824.155,1840.5339,50
71,bigone,2023-04-25T05:18:39.406Z,995.7641699999999,92203.62000000001,90428.23999999999,340.63289,1775.38,1824.155,1840.5337,50
72,bigone,2023-04-25T05:18:40.756Z,995.76417,92202.59,90425.54,340.63289,1777.0499999999997,1823.885,1840.5264,50
73,bigone,2023-04-25T05:18:42.117Z,995.76417,92202.55,90425.54,340.63289,1777.0099999999998,1823.885,1840.5263,50
74,bigone,2023-04-25T05:18:43.472Z,995.76417,92202.47,90425.54,340.63289,1776.9299999999998,1823.885,1840.5259,50
75,bigone,2023-04-25T05:18:44.835Z,995.76417,92199.04,90423.85,340.63289,1775.19,1823.485,1840.5179,50
76,bigone,2023-04-25T05:18:46.220Z,995.76417,92198.96,90423.85,340.63289,1775.11,1823.485,1840.5175,50
77,bigone,2023-04-25T05:18:47.597Z,995.76417,92198.92,90423.85,340.63289,1775.07,1823.485,1840.5173,50
78,bigone,2023-04-25T05:18:49.007Z,995.76417,92198.84,90423.85,340.63289,1774.99,1823.485,1840.5169,50
79,bigone,2023-04-25T05:18:50.384Z,995.76417,92198.8,90423.85,340.63289,1774.95,1823.485,1840.5167,50
80,bigone,2023-04-25T05:18:51.740Z,995.76417,92198.76,90423.85,340.63289,1774.9099999999999,1823.485,1840.5165,50
81,bigone,2023-04-25T05:18:53.101Z,995.76417,92198.68000000001,90423.85,340.63289,1774.83,1823.485,1840.5162,50
82,bigone,2023-04-25T05:18:54.507Z,995.76417,92198.64,90423.85,340.63289,1774.79,1823.485,1840.516,50
83,bigone,2023-04-25T05:18:55.882Z,1028.0041700000002,92229.70999999999,90423.85,340.63289,1805.8600000000001,1823.485,1841.1513,50
84,bigone,2023-04-25T05:18:57.276Z,995.76417,92198.52,90423.85,340.63289,1774.67,1823.485,1840.5154,50
