,exchange,datetime,ask_size,ask,bid,bid_size,spread,mid_price,vwap,levels
24,bigone,2023-04-25T03:21:03.275Z,14.547763999999999,1378871.26,1361001.85,8.440486,17869.41,27420.0,27470.8254,50
25,bigone,2023-04-25T03:21:04.663Z,14.547763999999999,1378871.26,1361001.8900000001,8.440486,17869.370000000003,27420.0,27470.8265,50
26,bigone,2023-04-25T03:21:06.056Z,14.547763999999999,1378871.26,1361001.9500000002,8.440486,17869.309999999998,27420.0,27470.8282,50
27,bigone,2023-04-25T03:21:07.445Z,14.547763999999999,1378871.26,1361002.0100000002,8.440486,17869.25,27420.0,27470.8298,50
28,bigone,2023-04-25T03:21:08.834Z,14.547763999999999,1378871.26,1361002.05,8.440486,17869.21,27420.0,27470.8309,50
29,bigone,2023-04-25T03:21:10.238Z,14.547763999999999,1378871.26,1361002.13,8.440486,17869.129999999997,27420.0,27470.8331,50
30,bigone,2023-04-25T03:21:11.615Z,14.547763999999999,1378871.26,1361002.17,8.440486,17869.09,27420.0,27470.8342,50
31,bigone,2023-04-25T03:21:13.003Z,14.547763999999999,1378871.26,1361002.21,8.440486,17869.050000000003,27420.0,27470.8353,50
32,bigone,2023-04-25T03:21:14.393Z,14.547763999999999,1378871.26,1361002.29,8.440486,17868.97,27420.0,27470.8375,50
33,bigone,2023-04-25T03:21:15.800Z,14.547763999999999,1378871.26,1361002.33,8.440486,17868.93,27420.0,27470.8386,50
34,bigone,2023-04-25T03:21:17.185Z,14.547763999999999,1378871.26,1360623.9200000002,7.922727999999999,18247.34,27420.0,27472.5941,50
35,bigone,2023-04-25T03:21:18.592Z,14.547763999999999,1378871.26,1361002.4500000002,8.440486,17868.809999999998,27420.0,27470.842,50
36,bigone,2023-04-25T03:21:19.983Z,14.547763999999999,1378871.26,1361002.4900000002,8.440486,17868.77,27420.0,27470.8431,50
37,bigone,2023-04-25T03:21:21.387Z,14.547763999999999,1378871.26,1361002.5699999998,8.440486,17868.690000000002,27420.0,27470.8453,50
38,bigone,2023-04-25T03:21:22.782Z,14.547763999999999,1378871.26,1361002.6099999999,8.440486,17868.65,27420.0,27470.8464,50
39,bigone,2023-04-25T03:21:24.169Z,14.547763999999999,1378871.26,1361002.67,8.440486,17868.59,27420.0,27470.8481,50
40,bigone,2023-04-25T03:21:25.589Z,14.547763999999999,1378871.26,1361002.73,8.440486,17868.53,27420.0,27470.8497,50
41,bigone,2023-04-25T03:21:26.976Z,14.547763999999999,1378871.26,1361002.77,8.440486,17868.489999999998,27420.0,27470.8508,50
42,bigone,2023-04-25T03:21:28.372Z,14.547763999999999,1378871.26,1361002.85,8.440486,17868.41,27420.0,27470.853,50
43,bigone,2023-04-25T03:21:29.754Z,14.547763999999999,1378871.26,1361002.8900000001,8.440486,17868.370000000003,27420.0,27470.8541,50
44,bigone,2023-04-25T03:21:31.155Z,14.547763999999999,1378871.26,1361002.9500000002,8.440486,17868.309999999998,27420.0,27470.8558,50
45,bigone,2023-04-25T03:21:32.538Z,14.547763999999999,1378871.26,1361003.0100000002,8.440486,17868.25,27420.0,27470.8574,50
46,bigone,2023-04-25T03:21:33.985Z,14.547763999999999,1378871.26,1361003.05,8.440486,17868.21,27420.0,27470.8585,50
47,bigone,2023-04-25T03:21:35.367Z,14.547763999999999,1378871.26,1361003.13,8.440486,17868.129999999997,27420.0,27470.8607,50
48,bigone,2023-04-25T03:21:36.762Z,14.547763999999999,1378871.26,1361003.17,8.440486,17868.09,27420.0,27470.8618,50
49,bigone,2023-04-25T03:21:38.146Z,14.547763999999999,1378871.26,1361003.21,8.440486,17868.050000000003,27420.0,27470.8629,50
50,bigone,2023-04-25T03:21:39.599Z,14.547763999999999,1378871.26,1361003.29,8.440486,17867.97,27420.0,27470.8651,50
51,bigone,2023-04-25T03:21:40.984Z,14.547763999999999,1378871.26,1361003.33,8.440486,17867.93,27420.0,27470.8662,50
52,bigone,2023-04-25T03:21:42.373Z,14.547763999999999,1378871.26,1361003.4100000001,8.440486,17867.85,27420.0,27470.8685,50
53,bigone,2023-04-25T03:21:43.806Z,14.547763999999999,1378871.26,1361003.4500000002,8.440486,17867.809999999998,27420.0,27470.8696,50
54,bigone,2023-04-25T03:21:45.198Z,14.547763999999999,1378871.26,1361003.4900000002,8.440486,17867.77,27420.0,27470.8707,50
